Page title,UK Fees,International Fees,Duration,Campus,description,Url
"International Planning and Sustainable Development MA - Courses | University of Westminster, London","£9,700","£15,500",1 year,"Marylebone, Central London","This course is aimed at built environment professionals and others with a relevant social or physical science background who wish to gain an in-depth understanding of planning and sustainable development, whether to improve career prospects in their country or enter international practice. Through the course you'll examine the growing problems of sustainable development facing cities, regions and communities in a rapidly urbanising world, subject to growing climate change and other environmental, economic and social pressures and risks.",https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/international-planning-and-sustainable-development-ma
"Investment and Risk Finance MSc - Courses | University of Westminster, London","£14,700","£15,500",1 year,"Marylebone, Central London",The course responds to the increased global demand for talent in both investment and risk management. You’ll develop a strong sense of market awareness from weekly updates on current market conditions drawn from the same commercial research used by several investment banks and hedge funds.,https://www.westminster.ac.uk/accounting-and-finance-courses/2025-26/september/full-time/investment-and-risk-finance-msc
"International Relations and Democratic Politics MA - Courses | University of Westminster, London","£10,700","£17,500",1 year,"Regent, Central London","The International Relations and Democratic Politics MA provides an advanced critical and comprehensive understanding of the forces shaping inter-state relations and global politics. Drawing on key theoretical interpretations of democratic politics, the course examines various principles of democratic thinking (ranging from pluralism and civil society to egalitarianism and human rights), and explores the interplay between theory and practice in old and new democracies and in processes of global governance.",https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/full-time/international-relations-and-democratic-politics-ma
"International Relations and Security MA - Courses | University of Westminster, London","£10,700","£17,500",1 year,"Regent, Central London","The question of security now dominates contemporary international politics. Issues such as the 'War on Terror', pre-emptive self-defence and humanitarian intervention constitute seminal international concerns that have implications for all states and all peoples.",https://www.westminster.ac.uk/politics-and-international-relations-courses/2025-26/september/full-time/international-relations-and-security-ma
"Multimedia Journalism (Print & Online) MA - Courses | University of Westminster, London","£10,700","£17,500",1 year,"Harrow, North-West London","This course offers a hands-on curriculum that allows you to develop your core journalistic skills in print, online and social media management.",https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/multimedia-journalism-print-online-ma
"Multimedia Journalism (Broadcast) MA - Courses | University of Westminster, London","£10,700","£17,500",1 year,"Harrow, North-West London","This course offers a hands-on curriculum that allows you to develop core journalistic skills in broadcast and digital media. You'll learn the technical skills to master TV, audio and digital reporting. The course has a very practical focus, so you'll develop your own story ideas and gather your own material through research and reporting for journalistic course work.",https://www.westminster.ac.uk/media-and-communication-courses/2025-26/september/full-time/multimedia-journalism-broadcast-ma
"Law and Technology LLM - Courses | University of Westminster, London","£12,700","£17,500",1 year,"Regent, Central London","Explore the dynamic and intricate relationship between law and technology in today’s fast-paced world with our comprehensive Law and Technology LLM programme. Examine how technological advancements reshape legal and regulatory frameworks, critically analysing their impact on society, the economy, ethics, and technology itself. Immerse yourself in captivating emerging normativities at the intersection of law and technology, essential for envisioning new regulatory futures.",https://www.westminster.ac.uk/law-courses/2025-26/september/full-time/law-and-technology-llm
"Legal Practice Postgraduate Diploma - Courses | University of Westminster, London","£12,700","£13,500",1 year,"Regent, Central London","If you want to practise as a solicitor in England and Wales, the Legal Practice Course (LPC) remains a great choice if you have a Qualifying Law Degree or a Graduate Diploma in Law. After graduating from the course, you may qualify as a solicitor through the traditional route of a training contract. You now also have the option to qualify through the Solicitors Qualifying Examination pathway by claiming exemption from SQE1 and substituting qualifying work experience for a training contract – find out more about the benefits of doing a Legal Practice Course and the new route to becoming a solicitor on our",https://www.westminster.ac.uk/law-courses/2025-26/september/full-time/legal-practice-postgraduate-diploma
"English Literature: Modern and Contemporary Fictions MA - Courses | University of Westminster, London","£9,700","£17,500",1 year,"Regent, Central London","Our English Literature: Modern and Contemporary Fictions MA gives you the opportunity to study English literature in a modern university environment, while taking advantage of London's rich cultural life. You'll examine literary texts in the wider context of cultural production and relate them to their social, historical and political circumstances.",https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/english-literature-modern-and-contemporary-fictions-ma
"English Language and Linguistics MA - Courses | University of Westminster, London","£9,700","£17,500",1 year,"Regent, Central London","The English Language and Linguistics MA explores the linguistic features of English from theoretical, applied, synchronic and diachronic perspectives. Our course will enable you to understand and evaluate critically a wide spectrum of ideas in the study of the English language, particularly in connection with linguistic variation in terms of space, time, communicative context and linguistic contact. It will also equip you with the intellectual perspectives and scholarly skills to conduct independent research.",https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/english-language-and-linguistics-ma
"English Language and Literature MA - Courses | University of Westminster, London","£9,700","£17,500",1 year,"Regent, Central London","The English Language and Literature MA explores the interconnections between language and literature. Our course will provide you with a thorough understanding of the linguistic features of English from a wide range of perspectives (theoretical and applied, synchronic and diachronic), as well as leading you to explore a wide array of texts in connection with the social, historical and political circumstances from which they emerge. It will also equip you with the intellectual perspectives and scholarly skills to conduct independent research.",https://www.westminster.ac.uk/english-and-creative-writing-courses/2025-26/september/full-time/english-language-and-literature-ma
"Legal Practice LLM - Courses | University of Westminster, London","£14,700","£15,500",1 year,"Regent, Central London","If you want to practise as a solicitor in England and Wales, the Legal Practice Course (LPC) remains a great choice if you have a Qualifying Law Degree or a Graduate Diploma in Law. After graduating from the course, you may qualify as a solicitor through the traditional route of a training contract. You now also have the option to qualify through the Solicitors Qualifying Examination pathway by claiming exemption from SQE1 and substituting qualifying work experience for a training contract – find out more about the benefits of doing a Legal Practice Course and the new route to becoming a solicitor on our",https://www.westminster.ac.uk/law-courses/2025-26/september/full-time/legal-practice-llm
